,Tesla Inc,,,,
Date,Open,High,Low,Close,Volume
1/29/2018,339.85001,350.85001,338.28,349.53,4747149
1/26/2018,341.5,344,335.70999,342.85001,4539356
1/25/2018,348.26999,349.20001,336.39999,337.64001,6740303
1/24/2018,354.57999,354.75,343.51999,345.89001,5287478
1/23/2018,360,360.5,351,352.79001,5465414
1/22/2018,349.39999,357.82999,349.20001,351.56,6210360
1/19/2018,345,350.59,342.60001,350.01999,4888303
1/18/2018,345.67001,352.29999,343.73999,344.57001,5685845
1/17/2018,340.47,349,339.75,347.16,7103505
1/16/2018,337.54001,345,334.79999,340.06,6474251
1/15/2018,,,,,
1/12/2018,338.63,340.41,333.67001,336.22,4825059
1/11/2018,335.23999,344.81,333.26001,337.95001,6645484
1/10/2018,332.20001,337,330,334.79999,4309926
1/9/2018,335.16,338.79999,327.39999,333.69,7146631
1/8/2018,316,337.01999,315.5,336.41,9859435
