,Netflix Inc,,,,
Date,Open,High,Low,Close,Volume
2/7/2018,266.57999,272.45001,264.32999,264.56,8981548
2/6/2018,247.7,266.70001,245,265.72,12595801
2/5/2018,262,267.89999,250.03,254.25999,11896053
2/2/2018,263,270.62,262.70999,267.42999,9123610
2/1/2018,266.41,271.95001,263.38,265.07001,9669011
1/31/2018,281.94,282.29001,269.57999,270.29999,11695072
1/30/2018,277,282.73001,272.70001,278.79999,12482852
1/29/2018,274.20001,286.81,273.92001,284.59,17529748
1/26/2018,271.48001,274.60001,268.76001,274.60001,11021839
1/25/2018,263,272.29999,260.23001,269.70001,15336378
1/24/2018,250.88,261.70999,249.31,261.29999,17352448
1/23/2018,255.05,257.70999,248.02,250.28999,27705332
1/22/2018,222,227.78999,221.2,227.58,17703292
1/19/2018,222.75,223.49001,218.5,220.46001,10548567
1/18/2018,220.34,220.58,216.55,220.33,8225339
1/17/2018,221,221.14999,216.32001,217.5,9123056
1/16/2018,224.24001,226.07001,217.2,221.53,13516067
1/15/2018,,,,,
1/12/2018,217.17999,222.55,216,221.23,8199423
1/11/2018,214.28999,217.75,213.35001,217.24001,7659485
1/10/2018,207.57001,213.64,206.91,212.52,5951486
1/9/2018,212.11,212.98,208.59,209.31,6125855
1/8/2018,210.02,212.5,208.44,212.05,5580178
